,count,mean,std,min,25%,50%,75%,max,mean_absolute_shap
school_size,2762.0,-0.033,0.389,-0.947,-0.295,-0.122,0.415,0.755,0.33401
school_type,2762.0,-0.047,0.278,-0.895,-0.023,0.08,0.131,0.256,0.20647
crimes_school_area,2762.0,0.013,0.236,-0.653,-0.158,0.019,0.17,0.904,0.18946
open_house,2762.0,0.005,0.113,-0.36,-0.082,0.029,0.089,0.309,0.09453
percentacadnotimpt,2762.0,0.015,0.117,-0.634,-0.035,0.046,0.095,0.36,0.09333
crimes_students_residence,2762.0,0.012,0.107,-0.201,-0.074,-0.037,0.102,0.408,0.09276
parent_teacher_conf,2762.0,0.004,0.102,-0.265,-0.078,0.009,0.086,0.327,0.08677
percentlowgrades,2762.0,0.002,0.106,-0.512,-0.049,0.004,0.07,0.345,0.07756
juvhelp_drug,2762.0,-0.015,0.085,-0.237,-0.082,-0.028,0.063,0.21,0.07595
random_sweep,2762.0,-0.008,0.066,-0.203,-0.059,-0.004,0.044,0.193,0.05541
mhhelp_drug,2762.0,0.008,0.052,-0.174,-0.026,0.027,0.042,0.116,0.04473
anonymous_report,2762.0,-0.002,0.054,-0.237,-0.041,0.007,0.04,0.151,0.04421
urban,2762.0,0.006,0.043,-0.239,0.003,0.02,0.031,0.096,0.03441
prohibit_phone,2762.0,-0.003,0.038,-0.12,-0.031,-0.01,0.023,0.115,0.03166
control_ground,2762.0,-0.003,0.032,-0.14,-0.021,0.002,0.019,0.113,0.02515
dress_code,2762.0,0.0,0.032,-0.136,-0.018,0.001,0.02,0.144,0.02451
relighelp_drug,2762.0,0.004,0.032,-0.074,-0.015,-0.005,0.014,0.202,0.0223
student_id,2762.0,0.003,0.034,-0.11,-0.011,-0.006,0.0,0.277,0.01721
disciplinary_process,2762.0,0.001,0.02,-0.086,-0.011,0.002,0.014,0.069,0.01596
peer_mediation,2762.0,0.002,0.019,-0.071,-0.009,0.002,0.013,0.083,0.0143
privatehelp_drug,2762.0,0.0,0.019,-0.066,-0.01,-0.001,0.008,0.152,0.01344
lawhelp_drug,2762.0,-0.003,0.025,-0.191,-0.001,0.003,0.006,0.095,0.0112
wear_uniform,2762.0,-0.0,0.018,-0.143,-0.003,0.002,0.005,0.164,0.00919
require_check,2762.0,-0.001,0.008,-0.146,-0.001,-0.0,0.0,0.046,0.00165
